,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
222,222,"Bortnyk, Olexandr",1996-10-18,Ukraine,1996,10,18,4
223,223,"Boruchovsky, Avital",1997-03-15,Israel,1997,3,15,1
224,224,"BosioÄiÄ, Marin",1988-08-08,Croatia,1988,8,8,3
225,225,"Botvinnik, Mikhail",1911-08-17,Soviet Union,1911,8,17,3
226,226,"Bouaziz, Slim",1950-04-16,Tunisia,1950,4,16,2
227,227,"Brandenburg, Daan",1987-11-14,Netherlands,1987,11,14,4
228,228,"Braun, Arik",1988-02-08,Germany,1988,2,8,1
229,229,"Brenjo, SlaviÅ¡a",1974-04-02,Serbia,1974,4,2,2
230,230,"Bricard, Emmanuel",1966-05-04,France,1966,5,4,2
231,231,"BrkiÄ, Ante",1988-03-31,Croatia,1988,3,31,1
232,232,"Brodsky, Michail",1969-03-27,Ukraine,1969,3,27,1
233,233,"Bromberger, Stefan",1982-03-19,Germany,1982,3,19,1
234,234,"Bronstein, David",1924-02-19,Soviet Union,1924,2,19,1
236,236,"Browne, Walter",1949-01-10,Australia,1949,1,10,1
237,237,"Brunello, Sabino",1989-06-27,Italy,1989,6,27,2
238,238,"Brunner, Lucas",1967-05-29,Switzerland,1967,5,29,2
239,239,"BruzÃ³n Batista, LÃ¡zaro",1982-05-02,Cuba,1982,5,2,2
240,240,"Brynell, Stellan",1962-09-28,Sweden,1962,9,28,3
241,241,"Bryzgalin, Kirill",1982-12-14,Russia,1982,12,14,4
242,242,Bu Xiangzhi,1985-12-10,China,1985,12,10,4
243,243,"Budisavljevic, Luka",2004-01-22,Serbia,2004,1,22,1
244,244,"Buhmann, Rainer",1981-02-20,Germany,1981,2,20,1
245,245,"BÃ¹i, VÄ©nh",1976-12-25,Vietnam,1976,12,25,4
246,246,"Bukavshin, Ivan",1995-05-03,Russia,1995,5,3,2
247,247,"BukiÄ, Enver",1937-12-02,Yugoslavia,1937,12,2,4
248,248,"Bulski, Krzysztof",1987-02-12,Poland,1987,2,12,1
249,249,"Bunzmann, Dimitrij",1982-02-21,Germany,1982,2,21,1
250,250,"Burg, Twan",1990-04-02,Netherlands,1990,4,2,2
252,252,"Burmakin, Vladimir",1967-06-06,Russia,1967,6,6,2
253,253,"Butnorius, Algimantas",1946-11-20,Lithuania,1946,11,20,4
254,254,"Bykhovsky, Anatoly",1988-11-19,Israel,1988,11,19,4
255,255,"Bykhovsky, Avigdor",1955-03-05,Russia,1955,3,5,1
257,257,"Cabrera, Alexis",1976-12-25,Colombia,1976,12,25,4
258,258,"Äabrilo, Goran",1958-07-01,Yugoslavia (S&M),1958,7,1,3
259,259,"CÃ¡mpora, Daniel H.",1957-06-30,Argentina,1957,6,30,2
260,260,"Campos Moreno, Javier B.",1959-03-06,Chile,1959,3,6,1
261,261,"Can, Emre",1990-01-21,Turkey,1990,1,21,1
262,262,"Canal, Esteban",1896-04-19,Peru,1896,4,19,2
263,263,Cao Sang,1973-09-06,Hungary,1973,9,6,3
264,264,"Carlsen, Magnus",1990-11-30,Norway,1990,11,30,4
265,265,"Carlsson, Pontus",1982-12-18,Sweden,1982,12,18,4
266,266,"Caruana, Fabiano",1992-07-30,Italy,1992,7,30,3
267,267,"Caspi, Israel",1989,Israel,1989,1,1,1
268,268,"CastaÃ±eda, Georgui",1976-08-02,Peru,1976,8,2,3
269,269,"Cebalo, MiÅ¡o",1945-02-06,Yugoslavia,1945,2,6,1
270,270,"Chabanon, Jean-Luc",1971-08-13,France,1971,8,13,3
271,271,"Chadaev, Nikolai",1988-07-09,Russia,1988,7,9,3
272,272,"Chanda, Sandipan",1983-08-13,India,1983,8,13,3
273,273,"Chandler, Murray G.",1960-04-04,New Zealand,1960,4,4,2
275,275,"Charbonneau, Pascal",1983-05-06,Canada,1983,5,6,2
276,276,"Charnushevich, Aliaksei",1978-12-18,France,1978,12,18,4
277,277,"Chatalbashev, Boris",1974-01-30,Bulgaria,1974,1,30,1
279,279,"Chekhov, Valery A.",1955-11-27,Soviet Union,1955,11,27,4
280,280,"Cheng, Bobby",1997-03-20,Australia,1997,3,20,1
281,281,"Cheparinov, Ivan",1986-11-26,Bulgaria,1986,11,26,4
282,282,"Cherniaev, Alexander",1969-08-26,Russia,1969,8,26,3
283,283,"Chernikov, Oleg",1936-10-15,Russia,1936,10,15,4
284,284,"Chernin, Alexander",1960-03-06,Soviet Union,1960,3,6,1
285,285,"Chernobay, Artem",1989-06-23,Russia,1989,6,23,2
286,286,"Chernyshov, Konstantin",1967-06-11,Russia,1967,6,11,2
287,287,"Chibukhchian, Artur",1979-10-06,Armenia,1979,10,6,4
288,288,"Chiburdanidze, Maia",1961-01-17,Soviet Union,1961,1,17,1
289,289,"Chigaev, Maksim",1996-11-07,Russia,1996,11,7,4
290,290,"ChirilÄ, Ioan-Cristian",1991-01-06,Romania,1991,1,6,1
291,291,"Christiansen, Johan-Sebastian",1998-06-10,Norway,1998,6,10,2
293,293,"Chuchelov, Vladimir",1969-09-28,Belgium,1969,9,28,3
294,294,"Chuprov, Dmitry",1978-05-10,Russia,1978,5,10,2
295,295,"Cicak, Slavko",1969-10-25,Sweden,1969,10,25,4
296,296,"Cifuentes Parada, Roberto",1957-12-21,Netherlands,1957,12,21,4
297,297,"CiocÃ¢ltea, Victor",1932-01-16,Romania,1932,1,16,1
298,298,"ÄiriÄ, Dragoljub",1935-11-12,Yugoslavia,1935,11,12,4
299,299,"ÄmilytÄ, Viktorija",1983-08-06,Lithuania,1983,8,6,3
300,300,"ÄoloviÄ, Aleksandar",1976-01-06,North Macedonia,1976,1,6,1
301,301,"Comas FabregÃ³, Lluis",1971-06-22,Spain,1971,6,22,2
303,303,"CÃ³rdova, Emilio",1991-07-08,Peru,1991,7,8,3
304,304,"Cori, Jorge",1995-07-30,Peru,1995,7,30,3
305,305,"Cori Quispe, Kevin Joel",1999-08-02,Peru,1999,8,2,3
306,306,"Cornette, Matthieu",1985-09-04,France,1985,9,4,3
307,307,"Corrales Jimenez, Fidel",1987-07-07,Cuba,1987,7,7,3
308,308,"Cramling, Pia",1963-04-23,Sweden,1963,4,23,2
309,309,"Cruz, Cristhian",1992-02-07,Peru,1992,2,7,1
310,310,"Csom, IstvÃ¡n",1940-06-02,Hungary,1940,6,2,2
311,311,"Cuartas, Jaime Alexander",1975-10-28,Colombia,1975,10,28,4
312,312,"Cubas, JosÃ© Fernando",1981-04-09,Paraguay,1981,4,9,2
313,313,"Cuenca JimÃ©nez, JosÃ© Fernando",1987-03-17,Spain,1987,3,17,1
314,314,"Cvek, Robert",1979-01-06,Czech Republic,1979,1,6,1
315,315,"Cvitan, Ognjen",1961-10-10,Yugoslavia,1961,10,10,4
316,316,"Cyborowski, Åukasz",1980-06-21,Poland,1980,6,21,2
317,317,"Czarnota, PaweÅ",1988-04-14,Poland,1988,4,14,2
318,318,"Czebe, Attila",1975-12-26,Hungary,1975,12,26,4
320,320,"Dambacher, Martijn",1979-10-22,Netherlands,1979,10,22,4
321,321,"DamjanoviÄ, Mato",1927-03-23,Yugoslavia,1927,3,23,1
322,322,"DamljanoviÄ, Branko",1961-06-17,Yugoslavia,1961,6,17,2
323,323,"Danielian, Elina",1978-08-16,Armenia,1978,8,16,3
324,324,"Danielian, Oganes",1974-01-03,Armenia,1974,1,3,1
325,325,"Danielsen, Henrik",1966-01-21,Denmark,1966,1,21,1
326,326,"Danin, Alexandre",1986-03-14,Russia,1986,3,14,1
327,327,ÄÃ o ThiÃªn Háº£i,1978-05-10,Vietnam,1978,5,10,2
328,328,"Dardha, Daniel",2005-10-01,Belgium,2005,10,1,4
329,329,"Darga, Klaus",1934-02-24,West Germany,1934,2,24,1
330,330,"Darini, Pouria",1991-01-24,Iran,1991,1,24,1
331,331,"DaÅtan, Muhammed Batuhan",1997-08-07,Turkey,1997,8,7,3
332,332,"Dautov, Rustem",1965-11-28,Soviet Union,1965,11,28,4
333,333,"David, Alberto",1970-03-26,Luxembourg,1970,3,26,1
335,335,"De Vreugt, Dennis",1980-11-04,Netherlands,1980,11,4,4
336,336,"Deac, Bogdan-Daniel",2001-10-08,Romania,2001,10,8,4
337,337,"Debashis, Das",1993-06-27,India,1993,6,27,2
338,338,Deepan Chakkravarthy J.,1987-06-03,India,1987,6,3,2
340,340,"Degraeve, Jean-Marc",1971-01-26,France,1971,1,26,1
341,341,"De La Paz Perdomo, Frank",1975-05-24,Cuba,1975,5,24,2
342,342,"De La Riva Aguado, Oscar",1972-07-15,Andorra,1972,7,15,3
343,343,"De La Villa Garcia, JesÃºs Maria",1958-06-30,Spain,1958,6,30,2
344,344,"Delchev, Aleksander",1971-07-15,Bulgaria,1971,7,15,3
345,345,"Delgado RamÃ­rez, Neuris",1981-09-17,Cuba,1981,9,17,3
346,346,"Delorme, Axel",1990-05-08,France,1990,5,8,2
347,347,"Del RÃ­o De Angelis, Salvador G.",1976-10-02,Spain,1976,10,2,4
348,348,"Dely, PÃ©ter",1934-07-05,Hungary,1934,7,5,3
349,349,"Demchenko, Anton",1987-08-20,Russia,1987,8,20,3
350,350,"Demidov, Mikhail",1992-06-17,Russia,1992,6,17,2
351,351,"Demuth, Adrien",1991-04-14,France,1991,4,14,2
