,Nombre,Nacimiento,year,month,day,trimestre
330,"Uriarte Bengoechea, Edurne",27/10/1960,1960,10,27,4
331,"Uriarte Torrealday, Roberto",20/10/1960,1960,10,20,4
332,"Utrilla Cano, Julio",05/03/1967,1967,5,3,2
333,"Valerio Cordero, Magdalena",27/09/1959,1959,9,27,3
334,"Vallugera Balañà, Pilar",13/10/1967,1967,10,13,4
335,"Vázquez Blanco, Ana Belén",27/01/1975,1975,1,27,1
336,"Vega Arias, Rubén Darío",10/05/1960,1960,10,5,4
337,"Vehí Cantenys, Mireia",09/02/1985,1985,9,2,3
338,"Velarde Gómez, Martina",14/04/1979,1979,4,14,2
339,"Velasco Morillo, Elvira",05/03/1968,1968,5,3,2
340,"Vicente Viondi, Daniel",16/12/1975,1975,12,16,4
341,"Vidal Sáez, Aina",22/03/1985,1985,3,22,1
342,"Vilches Ruiz, María Luisa",16/01/1982,1982,1,16,1
343,"Villagrasa Quero, Noemí",14/09/1980,1980,9,14,3
344,"Zamarrón Moreno, Agustín",02/02/1946,1946,2,2,1
345,"Zambrano García-Raez, Carlos José",23/02/1969,1969,2,23,1
346,"Zaragoza Alonso, José",12/09/1961,1961,12,9,4
347,"Zurita Expósito, Ana María",03/11/1963,1963,3,11,1
