,name_last,dob,year,month,day,trimestre,Deporte
5089,Rudnev,19880216,1988,2,16,1,Tenis
5090,Sidorenko,19880218,1988,2,18,1,Tenis
5091,Veic,19880218,1988,2,18,1,Tenis
5093,Koniusz,19880222,1988,2,22,1,Tenis
5094,Falcao,19880222,1988,2,22,1,Tenis
5095,Katliarov,19880222,1988,2,22,1,Tenis
5096,Roshardt,19880222,1988,2,22,1,Tenis
5100,Weinhandl,19880227,1988,2,27,1,Tenis
5101,Sieber,19880228,1988,2,28,1,Tenis
5102,Cavallero,19880304,1988,3,4,1,Tenis
5104,Meigel,19880304,1988,3,4,1,Tenis
5105,Rosenholm,19880305,1988,3,5,1,Tenis
5106,Katic,19880307,1988,3,7,1,Tenis
5107,Graber Anguita,19880307,1988,3,7,1,Tenis
5108,Lojda,19880308,1988,3,8,1,Tenis
5109,Lucassen,19880309,1988,3,9,1,Tenis
5110,Descloix,19880314,1988,3,14,1,Tenis
5112,Molteni,19880315,1988,3,15,1,Tenis
5113,Anikanov,19880315,1988,3,15,1,Tenis
5114,Lejnieks,19880316,1988,3,16,1,Tenis
5116,Calderon Rodriguez,19880319,1988,3,19,1,Tenis
5119,Mohammed,19880325,1988,3,25,1,Tenis
5122,Uzhylovsky,19880325,1988,3,25,1,Tenis
5124,Zopp,19880329,1988,3,29,1,Tenis
5125,Majsajdr,19880401,1988,4,1,2,Tenis
5126,Zeman,19880403,1988,4,3,2,Tenis
5127,Bella,19880403,1988,4,3,2,Tenis
5129,Riba,19880407,1988,4,7,2,Tenis
5130,Bautista Agut,19880414,1988,4,14,2,Tenis
5131,Moreno Figueroa,19880418,1988,4,18,2,Tenis
5137,Poldma,19880516,1988,5,16,2,Tenis
5139,Ito,19880518,1988,5,18,2,Tenis
5140,Lee,19880519,1988,5,19,2,Tenis
5141,El Amrani,19880519,1988,5,19,2,Tenis
5142,Adalia,19880520,1988,5,20,2,Tenis
5143,Garrapiz Borderias,19880524,1988,5,24,2,Tenis
5146,Souza,19880527,1988,5,27,2,Tenis
5147,Sousa,19880527,1988,5,27,2,Tenis
5149,Eichenberger,19880602,1988,6,2,2,Tenis
5150,Chernov,19880604,1988,6,4,2,Tenis
5151,Uzakov,19880604,1988,6,4,2,Tenis
5152,Duran,19880606,1988,6,6,2,Tenis
5153,Marti,19880607,1988,6,7,2,Tenis
5154,Mihai Puscasu,19880609,1988,6,9,2,Tenis
5155,Sakharov,19880610,1988,6,10,2,Tenis
5156,Goh,19880613,1988,6,13,2,Tenis
5157,Akhavan Roufigar,19880614,1988,6,14,2,Tenis
5158,Polansky,19880615,1988,6,15,2,Tenis
5159,Romanazzi,19880616,1988,6,16,2,Tenis
5160,Govaerts,19880617,1988,6,17,2,Tenis
5161,Andersen,19880617,1988,6,17,2,Tenis
5163,Klymenko,19880624,1988,6,24,2,Tenis
5165,Mannarino,19880629,1988,6,29,2,Tenis
5166,Pepe,19880701,1988,7,1,3,Tenis
5167,Mesaros,19880702,1988,7,2,3,Tenis
5168,Dorfler,19880703,1988,7,3,3,Tenis
5172,Dutra Da Silva,19880705,1988,7,5,3,Tenis
5173,Zekic,19880712,1988,7,12,3,Tenis
5174,Rakotondramanga,19880717,1988,7,17,3,Tenis
5176,Fanucci,19880721,1988,7,21,3,Tenis
5179,Danilovic,19880725,1988,7,25,3,Tenis
5180,Peers,19880725,1988,7,25,3,Tenis
5181,Chekhov,19880727,1988,7,27,3,Tenis
5182,Crowe,19880728,1988,7,28,3,Tenis
5183,Feitosa,19880729,1988,7,29,3,Tenis
5186,Lindahl,19880731,1988,7,31,3,Tenis
5188,Franco,19880804,1988,8,4,3,Tenis
5189,Piter,19880805,1988,8,5,3,Tenis
5191,Fransen,19880808,1988,8,8,3,Tenis
5192,Ramirez,19880810,1988,8,10,3,Tenis
5193,Abdulnour,19880811,1988,8,11,3,Tenis
5197,Wintermantel,19880820,1988,8,20,3,Tenis
5199,Daescu,19880828,1988,8,28,3,Tenis
5200,Gulbis,19880830,1988,8,30,3,Tenis
5201,Mijacevic,19880831,1988,8,31,3,Tenis
5202,Itzstein,19880902,1988,9,2,3,Tenis
5204,Ntamag,19880910,1988,9,10,3,Tenis
5205,Levine,19880911,1988,9,11,3,Tenis
5206,Dierckx,19880912,1988,9,12,3,Tenis
5207,Pimentel,19880917,1988,9,17,3,Tenis
5208,Sugita,19880918,1988,9,18,3,Tenis
5209,De Bakker,19880919,1988,9,19,3,Tenis
5211,Cicenia,19880921,1988,9,21,3,Tenis
5213,Doria Medina,19880922,1988,9,22,3,Tenis
5214,Lustyk,19880923,1988,9,23,3,Tenis
5215,del Potro,19880923,1988,9,23,3,Tenis
5217,Ghedin,19880926,1988,9,26,3,Tenis
5218,Balazs,19880927,1988,9,27,3,Tenis
5219,Cilic,19880928,1988,9,28,3,Tenis
5221,Bester,19881006,1988,10,6,4,Tenis
5222,Somogyi,19881011,1988,10,11,4,Tenis
5223,Belic,19881014,1988,10,14,4,Tenis
5224,Pinheiro,19881019,1988,10,19,4,Tenis
5225,Nedunchezhiyan,19881020,1988,10,20,4,Tenis
5226,Sobarzo Vignolo,19881025,1988,10,25,4,Tenis
5227,Kepler,19881029,1988,10,29,4,Tenis
5228,Haenle,19881031,1988,10,31,4,Tenis
5229,Reshetnikov,19881104,1988,11,4,4,Tenis
5230,Dolgopolov,19881107,1988,11,7,4,Tenis
5235,Sancic,19881123,1988,11,23,4,Tenis
5236,Lustenberger,19881123,1988,11,23,4,Tenis
5237,De Paula,19881128,1988,11,28,4,Tenis
5240,Massa,19881205,1988,12,5,4,Tenis
5242,Jdi,19881213,1988,12,13,4,Tenis
5243,Crowley,19881215,1988,12,15,4,Tenis
5244,Ittogi,19881217,1988,12,17,4,Tenis
5245,Hogan,19881220,1988,12,20,4,Tenis
5246,Mektic,19881224,1988,12,24,4,Tenis
5247,Beidas,19881226,1988,12,26,4,Tenis
5248,Bubnic,19881227,1988,12,27,4,Tenis
5251,Karatchenia,19890102,1989,1,2,1,Tenis
5252,Garcia,19890102,1989,1,2,1,Tenis
5253,Maytin,19890102,1989,1,2,1,Tenis
5254,Romboli,19890104,1989,1,4,1,Tenis
5255,Lindner,19890105,1989,1,5,1,Tenis
5256,Frost,19890106,1989,1,6,1,Tenis
5257,Rodriguez,19890110,1989,1,10,1,Tenis
5258,De Fays,19890114,1989,1,14,1,Tenis
5259,Botti,19890114,1989,1,14,1,Tenis
5261,Demoliner,19890118,1989,1,18,1,Tenis
5262,Teixeira,19890118,1989,1,18,1,Tenis
5263,Escobar,19890120,1989,1,20,1,Tenis
5264,Kita,19890121,1989,1,21,1,Tenis
5265,Echazu,19890121,1989,1,21,1,Tenis
5266,Heras,19890121,1989,1,21,1,Tenis
5267,Cadogan,19890123,1989,1,23,1,Tenis
5268,Garcia Roman,19890123,1989,1,23,1,Tenis
5272,Videla,19890127,1989,1,27,1,Tenis
5274,Granollers,19890130,1989,1,30,1,Tenis
5275,Altuna,19890130,1989,1,30,1,Tenis
5276,Temunovic,19890131,1989,1,31,1,Tenis
5277,Jones,19890131,1989,1,31,1,Tenis
5278,Regnat,19890201,1989,2,1,1,Tenis
5279,Rivera Aranguiz,19890202,1989,2,2,1,Tenis
5283,Gonzalez,19890207,1989,2,7,1,Tenis
5284,Urzua Rivera,19890210,1989,2,10,1,Tenis
5286,Roy,19890216,1989,2,16,1,Tenis
5287,Frigerio,19890217,1989,2,17,1,Tenis
5291,Gutierrez Ferrol,19890305,1989,3,5,1,Tenis
5292,Bilic,19890307,1989,3,7,1,Tenis
5293,Pavic,19890307,1989,3,7,1,Tenis
5294,Perez,19890307,1989,3,7,1,Tenis
5295,Palacios Siegenthale,19890310,1989,3,10,1,Tenis
5296,Dimov,19890312,1989,3,12,1,Tenis
5297,Gomez Saigos,19890317,1989,3,17,1,Tenis
5298,Blecha,19890318,1989,3,18,1,Tenis
5299,Veerabadran,19890320,1989,3,20,1,Tenis
5301,Thiemann,19890323,1989,3,23,1,Tenis
5302,Sousa,19890330,1989,3,30,1,Tenis
5307,Lopez Parra,19890407,1989,4,7,2,Tenis
5308,Reissig,19890407,1989,4,7,2,Tenis
5309,Schoorel,19890408,1989,4,8,2,Tenis
5311,Peralta Tello,19890415,1989,4,15,2,Tenis
5314,Koolhof,19890417,1989,4,17,2,Tenis
5316,Gigounon,19890420,1989,4,20,2,Tenis
5317,Oliveira,19890421,1989,4,21,2,Tenis
5319,Valenti,19890428,1989,4,28,2,Tenis
5321,Isaias Rosas Zarur,19890504,1989,5,4,2,Tenis
5322,Alexandru Luncanu,19890507,1989,5,7,2,Tenis
5323,Paire,19890508,1989,5,8,2,Tenis
5328,Di Ienno,19890518,1989,5,18,2,Tenis
5329,Estevez,19890518,1989,5,18,2,Tenis
5330,Bai,19890521,1989,5,21,2,Tenis
5331,Costa,19890524,1989,5,24,2,Tenis
5332,Fabbiano,19890526,1989,5,26,2,Tenis
5333,Zmak,19890527,1989,5,27,2,Tenis
5334,Kleftakos,19890527,1989,5,27,2,Tenis
5337,Mitsuhashi,19890601,1989,6,1,2,Tenis
5340,Heliovaara,19890604,1989,6,4,2,Tenis
5341,Siggia,19890605,1989,6,5,2,Tenis
5342,Krishna,19890607,1989,6,7,2,Tenis
5343,Arsenov,19890609,1989,6,9,2,Tenis
5344,Brunner,19890611,1989,6,11,2,Tenis
5346,Szmigiel,19890613,1989,6,13,2,Tenis
5348,Millman,19890614,1989,6,14,2,Tenis
5349,Ito,19890614,1989,6,14,2,Tenis
5350,Jung,19890615,1989,6,15,2,Tenis
5351,Alcorta Olarra,19890616,1989,6,16,2,Tenis
5352,Quinqueneau,19890616,1989,6,16,2,Tenis
5353,Vijayragavan,19890626,1989,6,26,2,Tenis
5357,Biktyakov,19890702,1989,7,2,3,Tenis
5358,Lopez Cassaccia,19890703,1989,7,3,3,Tenis
5359,Maiga,19890705,1989,7,5,3,Tenis
5361,Vishnu Bestha,19890706,1989,7,6,3,Tenis
5362,Al Tawil,19890710,1989,7,10,3,Tenis
5363,Klizan,19890711,1989,7,11,3,Tenis
5366,Gojowczyk,19890715,1989,7,15,3,Tenis
5367,Sum,19890717,1989,7,17,3,Tenis
5369,Bedene,19890718,1989,7,18,3,Tenis
5370,Bedene,19890718,1989,7,18,3,Tenis
5372,Maher,19890720,1989,7,20,3,Tenis
5373,Bloemke,19890723,1989,7,23,3,Tenis
5376,Sessagesimi,19890727,1989,7,27,3,Tenis
5377,Van Der Linden,19890729,1989,7,29,3,Tenis
5378,Witmeur,19890730,1989,7,30,3,Tenis
5379,Mladenov,19890730,1989,7,30,3,Tenis
5381,Bruggeling,19890801,1989,8,1,3,Tenis
5383,Martinoski,19890803,1989,8,3,3,Tenis
5385,Hodorov,19890806,1989,8,6,3,Tenis
5388,Kapas,19890811,1989,8,11,3,Tenis
5389,Piro,19890812,1989,8,12,3,Tenis
5390,Trevisan,19890813,1989,8,13,3,Tenis
5391,Siriluethaiwattana,19890816,1989,8,16,3,Tenis
5395,Marcora,19890830,1989,8,30,3,Tenis
5397,Wedege,19890907,1989,9,7,3,Tenis
5398,Gonzalez Jimenez,19890910,1989,9,10,3,Tenis
5399,Cristian Mirtea,19890910,1989,9,10,3,Tenis
5400,Junqueira De Andrade,19890912,1989,9,12,3,Tenis
5402,Martin,19890920,1989,9,20,3,Tenis
5404,Tabatruong,19890924,1989,9,24,3,Tenis
5407,Koenig,19891004,1989,10,4,4,Tenis
5408,Alvarado,19891006,1989,10,6,4,Tenis
5409,Karaliolios,19891010,1989,10,10,4,Tenis
5410,Konecny,19891013,1989,10,13,4,Tenis
5412,Ferraz,19891015,1989,10,15,4,Tenis
5415,Linzer,19891102,1989,11,2,4,Tenis
5416,Sekulic,19891104,1989,11,4,4,Tenis
